,StockType,Title,Exterior,Interior,Transmission,Drivetrain,Price,Mileage
1846,USED,2017 Toyota 86 Base,White,Black,Automatic,RWD,15189,28284
1847,USED,2012 Audi TTS 2.0T Premium Plus quattro,Black,Other,Automatic,AWD,9995,168736
1848,USED,2015 BMW M4 Base,White,Beige,Manual,RWD,34500,59991
1849,USED,2016 Ford Shelby GT350 Base,Orange,Black,Manual,RWD,44990,6063
1850,USED,2016 Dodge Challenger SXT,Gray,Red,Automatic,RWD,15900,32000
1851,USED,2012 Mitsubishi Eclipse GS,Gray,Other,Automatic,FWD,3995,118710
1852,LEXUS CERTIFIED,2018 Lexus LC 500,Blue,Other,Automatic,RWD,72000,$1000
1853,USED,2007 Jaguar XKR,Beige,Beige,Automatic,RWD,24900,33763
1854,USED,2012 Nissan GT-R Black Edition,Gray,Black,Automatic,AWD,79999,14904
1855,NEW,2019 Aston Martin DB11 AMR,Other,Black,Automatic,RWD,258786,0
1856,USED,2015 BMW M235 i,Black,Black,Automatic,RWD,24000,44263
1857,USED,2008 Maserati GranTurismo,Black,Black,Automatic,RWD,27998,46475
1858,USED,2015 Scion tC SPORTS 6-SPD,Black,Gray,Automatic,FWD,11995,58661
1859,USED,2015 Rolls-Royce Wraith Base,Blue,Gray,Automatic,RWD,175490,4850
1860,USED,1995 Lexus SC 400,White,Beige,Automatic,Unknown,3500,148500
1861,NEW,2020 Toyota Supra 3.0 Premium,Yellow,Black,Automatic,RWD,58133,0
1862,USED,2007 Bentley Continental GT,Gray,Brown,Automatic,AWD,42000,52000
1863,USED,2006 Acura RSX,Blue,Black,Automatic,FWD,5995,133656
1864,NEW,2019 Audi TTS 2.0T quattro,Gray,Gray,Automatic,AWD,58776,0
1865,NEW,2019 Mercedes-Benz AMG GT 63 S 4-Door,White,Other,Automatic,AWD,184535,0
1866,USED,2004 Acura RSX,White,Gray,Automatic,FWD,4999,144576
1867,USED,2000 Mitsubishi Mirage DE,Gold,Gray,Automatic,FWD,2995,123406
1868,USED,2016 Mercedes-Benz E 400,Black,Black,Automatic,RWD,21499,42823
1869,USED,2018 Honda Civic LX-P,Red,Black,CVT,FWD,14999,5533
1870,USED,2018 Nissan GT-R Premium,Black,Gray,Automatic,AWD,84923,8225
1871,USED,2005 Bentley Continental GT,Black,Black,Automatic,AWD,34990,99000
1872,USED,2010 Mercedes-Benz E 550,Black,Beige,Automatic,RWD,12998,89746
1873,USED,2003 Nissan 350Z Touring,Silver,Black,Automatic,RWD,6900,107817
1874,USED,1992 Mitsubishi 3000GT VR-4,White,Black,Manual,AWD,17500,59335
1875,USED,2017 INFINITI Q60 2.0T,Gray,Gray,Automatic,AWD,25998,$501
1876,USED,2011 Scion tC Base,Other,Gray,Automatic,FWD,6995,132000
1877,NEW,2019 Aston Martin DB11 AMR,Other,Other,Automatic,RWD,SRP,$257531
1878,MERCEDES-BENZ CERTIFIED,2017 Mercedes-Benz AMG C 43 Base 4MATIC,White,Black,Automatic,AWD,38991,$1000
1879,NEW,2019 INFINITI Q60 3.0t LUXE,White,Gray,Automatic,AWD,43692,$6000
1880,USED,2010 Hyundai Genesis Coupe 3.8 Grand Touring,Blue,Black,Automatic,RWD,8495,97305
1881,USED,2007 Porsche Cayman S,Red,Beige,Automatic,RWD,25900,29131
1882,USED,2007 Pontiac G6 GT,Gray,Black,Automatic,FWD,3800,90239
1883,USED,2013 Hyundai Genesis Coupe 3.8 R-Spec,Gray,Black,Manual,RWD,15999,59756
